Date,Close/Last,Volume,Open,High,Low
07/25/2022,$75.84,2214948,$77.12,$77.28,$75.24
07/22/2022,$76.80,2959247,$78.82,$80.08,$76.24
07/21/2022,$78.20,2338722,$77.79,$78.23,$75.98
07/20/2022,$78.12,3359025,$76.21,$78.34,$75.69
07/19/2022,$75.97,2743665,$73.97,$76.49,$73.66
07/18/2022,$73.34,2545341,$73.20,$75.25,$72.94
07/15/2022,$72.47,2477193,$72.47,$72.575,$71.1294
07/14/2022,$71.14,1997311,$70.55,$71.4532,$69.50
07/13/2022,$71.29,2207732,$68.89,$71.75,$68.83
07/12/2022,$70.42,2268598,$70.37,$72.08,$69.92
07/11/2022,$69.91,1778852,$71.21,$71.91,$69.7001
07/08/2022,$71.17,2072267,$70.19,$71.52,$69.15
07/07/2022,$70.89,2356081,$68.73,$70.98,$68.52
07/06/2022,$68.52,2645791,$69.81,$70.13,$67.22
07/05/2022,$69.98,3260646,$66.11,$69.99,$65.90
07/01/2022,$66.77,2866441,$65.79,$66.86,$65.01
06/30/2022,$65.19,3485479,$65.81,$66.25,$64.29
06/29/2022,$67.15,3337193,$68.29,$68.61,$66.60
06/28/2022,$68.85,2591633,$71.72,$72.00,$68.67
06/27/2022,$72.14,2562427,$74.98,$75.45,$71.84
06/24/2022,$74.69,5060878,$72.10,$74.74,$71.42
06/23/2022,$71.29,2421943,$70.12,$71.79,$70.03
06/22/2022,$69.88,2729181,$70.32,$71.08,$69.52
06/21/2022,$70.47,3271629,$72.07,$72.28,$70.09
06/17/2022,$70.51,8384719,$68.02,$71.42,$68.00
06/16/2022,$68.48,3848810,$69.55,$70.25,$67.66
06/15/2022,$71.76,3347757,$70.84,$72.68,$70.38
06/14/2022,$70.59,4571646,$70.00,$71.56,$69.4028
06/13/2022,$69.45,4405216,$70.41,$70.91,$68.62
06/10/2022,$72.60,3738865,$73.32,$74.41,$72.025
06/09/2022,$74.93,3138750,$76.63,$77.409,$74.93
06/08/2022,$77.12,2775436,$77.78,$78.96,$76.20
06/07/2022,$78.35,3447085,$76.67,$78.61,$75.60
06/06/2022,$79.27,2568588,$80.63,$80.63,$79.01
06/03/2022,$80.39,2295953,$80.52,$81.62,$80.1572
06/02/2022,$81.26,2228354,$80.56,$81.30,$79.20
06/01/2022,$80.08,3363787,$82.63,$82.91,$79.62
05/31/2022,$82.06,4922963,$83.77,$85.30,$81.40
05/27/2022,$83.99,3316716,$82.23,$84.86,$82.18
05/26/2022,$82.05,4552300,$81.24,$84.40,$81.12
05/25/2022,$80.06,10136610,$71.01,$80.68,$70.83
05/24/2022,$73.47,14827780,$72.98,$75.895,$71.48
05/23/2022,$72.59,7655031,$72.36,$73.14,$69.36
05/20/2022,$72.36,4858606,$74.00,$74.07,$69.07
05/19/2022,$73.32,5333310,$73.99,$76.42,$72.36
05/18/2022,$75.62,9388976,$78.74,$79.57,$74.05
05/17/2022,$84.50,4333070,$86.00,$86.82,$81.79
05/16/2022,$84.77,3024621,$85.70,$86.45,$82.018
05/13/2022,$86.36,3076335,$87.08,$88.32,$85.09
05/12/2022,$87.36,3235751,$83.89,$89.58,$83.89
05/11/2022,$83.79,3045405,$88.98,$89.97,$83.38
05/10/2022,$88.74,2847614,$91.65,$92.76,$87.285
05/09/2022,$91.08,2681544,$89.82,$92.15,$89.62
05/06/2022,$91.41,1977005,$91.69,$93.60,$89.01
05/05/2022,$92.21,2258815,$96.28,$96.28,$91.01
